	TEAM	GP	AST	APG	TO	TOPG	AST/TO	Season	BLK/PF	PF	BLK	BLKPG	OFF	RPG	REB	ORPG	DRPG	DEF	STL	ST/PF	ST/TO	STPG	2PA	PPG	3PATotal	2P%	3PMTotal	PPS	3PMPG	3PAPG	FG%	2PM	3P%	FTAPG	FTATotal	FT%	FTMPG	FTMTotal
339	UL Monroe	32	459	14.3	394	12.3	1.16	2015	0.19	572	107	3.34	360	36.8	1179	11.3	25.6	819	176	0.31	0.45	5.50	1255	73.9	600	.508	216	1.27	6.8	19	.519	638	.360	19.6	627	.702	13.8	440
340	Wichita State	32	459	14.3	318	9.9	1.44	2015	0.18	644	118	3.69	373	37.5	1199	11.7	25.8	826	231	0.36	0.73	7.22	1136	73.2	710	.499	234	1.27	7.3	22	.497	567	.330	22.2	710	.714	15.8	507
341	Virginia	33	473	14.3	310	9.4	1.53	2015	0.18	540	97	2.94	296	31.9	1052	9.0	22.9	756	181	0.34	0.58	5.48	1254	70.4	489	.519	198	1.33	6.0	15	.544	651	.405	17.1	565	.754	12.9	426
342	Texas Southern	32	458	14.3	426	13.3	1.08	2015	0.19	484	94	2.94	395	37.8	1208	12.3	25.4	813	143	0.30	0.34	4.47	1146	72.8	642	.524	219	1.30	6.8	20	.519	600	.341	23.5	752	.629	14.8	473
343	SE Louisiana	33	472	14.3	504	15.3	0.94	2015	0.13	688	89	2.70	336	34.5	1140	10.2	24.4	804	211	0.31	0.42	6.39	1184	71.0	649	.498	241	1.28	7.3	20	.519	590	.371	21.0	694	.635	13.4	441
344	Denver	31	443	14.3	404	13.0	1.10	2015	0.12	595	71	2.29	168	25.2	781	5.4	19.8	613	198	0.33	0.49	6.39	836	65.2	613	.543	235	1.39	7.6	20	.557	454	.383	17.1	530	.770	13.2	408
345	Morehead State	31	442	14.3	397	12.8	1.11	2015	0.11	708	75	2.42	457	37.2	1153	14.7	22.5	696	246	0.35	0.62	7.94	1330	72.4	496	.462	186	1.23	6.0	16	.490	615	.375	21.2	657	.693	14.7	455
346	Pepperdine	31	442	14.3	349	11.3	1.27	2015	0.15	578	87	2.81	339	36.9	1143	10.9	25.9	804	179	0.31	0.51	5.77	1350	73.5	446	.488	154	1.27	5.0	14	.496	659	.345	23.7	735	.676	16.0	497
347	Fairleigh Dickinson	32	456	14.3	414	12.9	1.10	2015	0.12	694	86	2.69	338	33.6	1074	10.6	23.0	736	242	0.35	0.58	7.56	1325	77.9	633	.510	230	1.27	7.2	20	.521	676	.363	20.2	645	.699	14.1	451
348	Omaha	31	441	14.2	404	13.0	1.09	2015	0.15	626	94	3.03	324	35.4	1097	10.5	24.9	773	291	0.46	0.72	9.39	1379	84.4	564	.531	187	1.35	6.0	18	.521	732	.332	25.7	797	.743	19.1	592
349	New Mexico State	33	469	14.2	455	13.8	1.03	2015	0.31	520	159	4.82	401	41.3	1362	12.2	29.1	961	136	0.26	0.30	4.12	1334	71.8	520	.518	173	1.28	5.2	16	.513	691	.333	20.9	691	.676	14.2	467
350	Northern Illinois	33	469	14.2	420	12.7	1.12	2015	0.17	667	114	3.45	405	39.2	1295	12.3	27.0	890	241	0.36	0.57	7.30	1250	72.7	666	.470	234	1.25	7.1	20	.490	587	.351	23.2	765	.685	15.9	524
